AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
CHANNEL_SELECT_CHANNEL	Διάλεξε κανάλι
CHANNEL_SELECT_REGION	Διάλεξε περιοχή
CHANNEL_SELECT_SERVER	Διάλεξε server
CHAT_ALL	Όλα
CHAT_GUILD	Συντεχνία
CHAT_INFORMATION	Πληροφορίες
CHAT_INSULT_STRING	Η πρόταση περιέχει μη επιτρεπτές λέξεις.
CHAT_LOG	Εμφάνιση παλιών μηνυμάτων [L]
CHAT_LOG_TITLE	Εμφάνιση πρωτοκόλλου
CHAT_NORMAL	Κανονικό
CHAT_NOTICE	Αναγγελία
CHAT_PARTY	Ομάδα
CHAT_SEND_CHAT	Αποστολή chat
CHAT_SEND_MEMO	Αποστολή ψίθυρου [Shift+Enter]
CHAT_SHOUT	Κλήση
CHAT_SHOUT_LIMIT	Μπορείς να καλέσεις κάθε 15 δευτερόλεπτα.
COMB_ALREADY_APPEND	
CREATE_ERROR_GM_NAME	Δεν επιτρέπεται η χρήση του όρου «GM» στο όνομα χαρακτήρα.
CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα.
CREATE_EXIST_SAME_NAME	Το όνομα είναι ήδη σε χρήση από άλλον παίκτη.
CREATE_FAILURE	Δε μπορείς να δημιουργήσεις το χαρακτήρα.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Εισαγωγή ονόματος.
DAY	Μέρες
DO_YOU_BUY_ITEM1	Θέλεις να αγοράσεις το %s για %s?
DO_YOU_BUY_ITEM2	Θέλεις να αγοράσεις το %s %s για %s?
DO_YOU_DROP_MONEY	Θέλεις να πετάξεις %d Yang?
DO_YOU_SELL_ITEM1	Θέλεις να πουλήσεις το %s για %s?
DO_YOU_SELL_ITEM2	Θέλεις να πουλήσεις %s %s για %s;
DRAGON_SOUL_CANNOT_REFINE	Δεν μπορείς να εξευγενίσεις αυτόν τον Δρακόλιθο.
DRAGON_SOUL_CANNOT_REFINE_MORE	Αυτός ο Δρακόλιθος βρίσκεται ήδη στο ανώτατο επίπεδο.
DRAGON_SOUL_EQUIP_WARNING1	Είναι δύσκολο να απομακρύνεις έναν Δρακόλιθο.
DRAGON_SOUL_EQUIP_WARNING2	Θέλεις να συνεχίσεις παρόλα αυτά;
DRAGON_SOUL_EXPIRED	Ληγμένος Δρακόλιθος
DRAGON_SOUL_INVALID_DRAGON_SOUL	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Αυτός δεν είναι ένας Δρακόλιθος.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό για εξευγενισμό.
DRAGON_SOUL_STEP_LEVEL1	Καθαρότητα: ματ,
DRAGON_SOUL_STEP_LEVEL2	Καθαρότητα: διαφανές,
DRAGON_SOUL_STEP_LEVEL3	Καθαρότητα: ολοκάθαρο,
DRAGON_SOUL_STEP_LEVEL4	Καθαρότητα: εξαιρετικό,
DRAGON_SOUL_STEP_LEVEL5	Καθαρότητα: τέλειο,
DRAGON_SOUL_STRENGTH	Επίπεδο: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ο Δρακόλιθος μπορεί να καταστραφεί σε αυτήν την διαδικασία.
DRAGON_SOUL_UNEQUIP_WARNING2	Θέλεις να συνεχίσεις;
DRAGON_SOUL_UNMATCHED_SLOT	Αυτή είναι η λάθος θέση.
DRAGON_SOUL_UNQUALIFIED	Δεν μπορείς ακόμη να χρησιμοποιήσεις την Αλχημεία Δρακόλιθων.
DROP_ITEM_FAILURE_EQUIP_ITEM	Δεν μπορείς να πετάξεις αντικείμενα που φοράς.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Δε μπορείς να πετάξεις Αντικείμενο όσο έχεις ανοιχτό Ιδιωτικό Κατάστημα.
DROP_MONEY_FAILURE_1000_OVER	Μπορείς να πετάξεις μέχρι 999 Yang.
EMOTION_ANGRY	Επιδείνωση
EMOTION_ATTRACTIVE	Αποπλάνηση
EMOTION_BANTER	Ειρωνία
EMOTION_CHEERS_1	Αγαλλίαση 1
EMOTION_CHEERS_2	Αγαλλίαση 2
EMOTION_CHEERUP	Ευθυμία
EMOTION_CHOOSE_ONE	Διάλεξε στόχο
EMOTION_CLAP	Παλαμάκια
EMOTION_CLAP_KISS	Φιλί
EMOTION_CONGRATULATION	Αποδοχή
EMOTION_DANCE_1	Χορός 1
EMOTION_DANCE_2	Χορός 2
EMOTION_DANCE_3	Χορός 3
EMOTION_DANCE_4	Χορός 4
EMOTION_DANCE_5	Χορός 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Συγχώρεση
EMOTION_FRENCH_KISS	Γαλλικό Φιλί
EMOTION_JOY	Χαρά
EMOTION_SAD	Θλίψη
EMOTION_SHY	Απόρριψη
EMOTION_SLAP	Χτήπημα
EMPIRE_A	Βασίλειο του Shinsoo
EMPIRE_B	Βασίλειο του Chunjo
EMPIRE_C	Βασίλειο του Jinno
EXCHANGE_CANNOT_GIVE	Δεν μπορείς να κάνεις εμπόριο με αυτό το αντικείμενο.
EXCHANGE_CANT_EDIT_MONEY	Δε μπορείς να αλλάξεις το σύνολο τώρα.
EXCHANGE_FAILURE_EQUIP_ITEM	Δε μπορείς να ανταλλάξεις εξοπλισμένα Αντικείμενα.
EXCHANGE_MONEY	Σύνολο
EXCHANGE_TITLE	Ανταλλαγή %s
FISHING_FAILURE	Έχασες το Δόλωμα.
FISHING_NOTIFY1	Φαίνεται ότι πιάστηκε στο αγκίστρι %s.
FISHING_NOTIFY2	Φαίνεται ότι πιάστηκε ένα %s.
FISHING_SUCCESS1	Έπιασες %s!
FISHING_SUCCESS2	Ψάρεψες %s!
FISHING_UNKNOWN	Κάτι τσίμπησε, αλλά δε μπορείς να δεις τι είναι.
FISHING_WRONG_PLACE	Δε μπορείς να ψαρέψεις εδώ.
FOR_FEMALE	Για γυναικες
FOR_MALE	Για αντρες
GAME_CANNOT_MINING	Δε μπορείς να εξορύξεις Μετάλλευμα ενώ ιππεύεις.
GAME_CANNOT_PICK_ITEM	Δε μπορείς να συλλέξεις το Αντικείμενο αφού δεν το κέρδισες.
GAME_INIT_ERROR_CURSOR	Ο κέρσορας δεν μπορεί να εδραιωθεί.
GAME_INIT_ERROR_DIRECTX	Για να τρέξει το παιχνίδι πρέπει να είναι εγκατεστημένο το DirectX 8.1. \nΕγκαταστήστε το DirectX 8.1 ή μεταγενέστερο.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν η VGA κάρτα σου είναι εγκαταστημένη σωστά.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν έχεις κάρτα VGA.\nΕναλλακτικά, μπορείς να ενεργοποιήσεις το hardware accelerator.\n(Θέσε το hardware accelerator στο max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Η κάρτα γραφικών του υπολογιστή δεν υποστηρίζει λειτουργία παραθύρου στα 32bit. \nΆλλαξε το στα 16bit ή χρησιμοποίησε την λειτουργία πλήρους οθόνης.
GAME_INIT_ERROR_ITEM_PROTO	Δεν υπάρχουν Δεδομένα Αντικειμένων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_MAIN_WINDOW	Το κυρίως παράθυρο δεν μπορεί να εμφανιστεί.
GAME_INIT_ERROR_MOB_PROTO	Δεν υπάρχουν Δεδομένα Τεράτων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_NETWORK	Δε βρέθηκε σύνδεση.\nΈλεγξε τη σύνδεσή σου.
GAME_PICK_MONEY	Έλαβες %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Το ύψος δεν είναι 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Το ύψος δεν είναι 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Το πλάτος δεν είναι 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Το πλάτος δεν είναι 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Το παιχνίδι δεν υποστηρίζει αυτή τη φωτογραφία.
GUILDMARK_UPLOADER_ERROR_PATH	Μετακίνησε τα δεδομένα στο φάκελο metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Δεν επιλέχθηκε φωτογραφία.
GUILDWAR_CTF_TITLE	Αιχμαλώτιση σημαίας.
GUILDWAR_NORMAL_TITLE	Πεδίο Μάχης
GUILDWAR_WARP_TITLE	Μάχη αρένας
GUILD_BUILDING_GRADE	Βαθμός
GUILD_BUILDING_NAME	Όνομα κτιρίου
GUILD_CANNOT_HEAL_GSP_ANYMORE	Η ενέργεια του Δρακοφαντάσματος είναι ήδη πλήρης.
GUILD_COMMENT	Γράψε
GUILD_CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα συντεχνίας.
GUILD_DEFAULT_GRADE	Μέλη συντεχνίας
GUILD_DELETE	Διαγραφή
GUILD_DEPOSIT	Κατάθεση
GUILD_DO_YOU_HEAL_GSP	Θέλεις να δώσεις %d Yang %d για την επαναφορά του Δρακοφαντάσματος;
GUILD_DO_YOU_JOIN	 σε προσκάλεσε στην Συντεχνία. Θα γίνεις μέλος;
GUILD_EMPTY_AREA	Άδεια περιοχή
GUILD_FACILITY	Υπόστεγο
GUILD_GEM	Πετράδι
GUILD_HEADQUARTER	Κύριο Κτίριο
GUILD_HEAL_GSP	Φόρτιση Δρακοφαντάσματος
GUILD_INFO_ENEMY_GUILD_EMPTY	Κενό
GUILD_MARK_NOT_ENOUGH_LEVEL	Απαιτείται ελάχιστο επίπεδο 3
GUILD_NAME	Όνομα συντεχνίας
GUILD_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό γι' αυτό το κτίριο.
GUILD_NOT_ENOUGH_MONEY	Δεν έχεις αρκετά Yang γι' αυτό το κτίριο.
GUILD_NO_NOTICE_PERMISSION	Δεν έχεις δικαίωμα να κάνεις αναγγελίες.
GUILD_OBJECT	Αντικείμενα
GUILD_OFFER_EXP	Επένδυση εμπειρίας
GUILD_SHORT_EXP	Μη επαρκής εμπειρία.
GUILD_TILE_BASEINFO	Βασικές Πληροφορίες
GUILD_TILE_BOARD	Πίνακας
GUILD_TILE_GRADE	Διαχείριση δικαιωμάτων
GUILD_TILE_INFO	Πληροφορίες Συντεχνίας
GUILD_TILE_MEMBER	Μέλη Συντεχνίας
GUILD_TILE_SKILL	Ικανότητα Συντεχνίας
GUILD_REMOVE_MEMBER_QUESTION	Θέλεις να αφαιρέσεις αυτό το μέλος;
GUILD_WAR4	Περιοχή πολέμων συντεχνίας
GUILD_WAR3	Περιοχή πολέμων συντεχνίας
GUILD_WAR2	Περιοχή πολέμων συντεχνίας
GUILD_WAR1	Περιοχή πολέμων συντεχνίας
GUILD_VILLAGE_03	Daeyami
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_01	Miryang
GUILD_WAR_LIMIT_30MIN	Χρόνος: 30 Λεπτά
GUILD_WAR_REWARD_POTION	Ανταμοιβή: Ο νικητής κερδίζει ένα Φίλτρο
GUILD_WAR_USE_BATTLE_MAP	Τόπος: Αρένα πολέμων συντεχνιών
GUILD_WAR_USE_NORMAL_MAP	Τόπος: Κανονικός χάρτης
GUILD_WAR_WIN_CHECK_SCORE	Το υψηλότερο αποτέλεσμα κερδίζει τον πόλεμο.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Άρπαξε την σημαία του εχθρού
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	και πήγαινέ την στην βάση σου.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Νίκησε όλους τους εχθρούς για να κερδίσεις.
GUILD_WITHDRAW	Fallback(Υποχώρηση;)
GUILD_YOU_DO_NOT_JOIN	Δεν είσαι μέλος Συντεχνίας.
HORSE_HEALTH0	Νεκρό
HORSE_HEALTH1	Πολύ πεινασμένο
HORSE_HEALTH2	Πεινασμένο
HORSE_HEALTH3	Χορτάτο
HORSE_LEVEL1	Κανονικό άλογο
HORSE_LEVEL2	Άλογο μάχης
HORSE_LEVEL3	Στρατιωτικό άλογο
HOUR	Ώρες
HOW_MANY_ITEM_DO_YOU_DROP1	Θέλεις να πετάξεις %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Θέλεις να πετάξεις %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Είσαγε τον κώδικα που δημιούργησες στη Διοίκηση Λογαριασμού, εδώ.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Διαγραφή χαρακτήρα
INVENTORY_REALLY_USE_ITEM	Θέλεις να χρησιμοποιήσεις αυτό το Αντικείμενο επάνω στο άλλο;
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ερασιτέχνης Ninja
JOB_ASSASSIN1	Δύναμη των Ninjas
JOB_ASSASSIN2	Απέθαντος
JOB_SHAMAN	Σαμάνος
JOB_SHAMAN0	Ερασιτέχνης Σαμάνος
JOB_SHAMAN1	Ισχύς του Δράκοντα
JOB_SHAMAN2	Δύναμη της Αστραπής
JOB_SURA	Sura
JOB_SURA0	Ερασιτέχνης Sura
JOB_SURA1	Δύναμη της Fata Morgana
JOB_SURA2	Δύναμη της Μαύρης Μαγείας
JOB_WARRIOR	Πολεμιστής
JOB_WARRIOR0	Ερασιτέχνης Πολεμιστής
JOB_WARRIOR1	Ισχύς του Arahan
JOB_WARRIOR2	Δύναμη των Βετεράνων
LEFT_TIME	Χρόνος που Απομένει
LOCALE_CHANGE_CONFIRM	Αλλαγή γλώσσας σε %s και επαναφόρτωση του παιχνιδιού;
LOGIN_CONNECT_FAILURE	Σφάλμα κατά τη σύνδεση.
LOGIN_CONNECT_SUCCESS	Συνδέθηκες με τον σέρβερ.
LOGIN_CONNETING	Σύνδεση με σέρβερ...
LOGIN_FAILURE_ALREAY	Ο λογαριασμός είναι ήδη συνδεδεμένος.
LOGIN_FAILURE_BE_SAME_KEY	Πρόβλημα εγγραφής.
LOGIN_FAILURE_BLOCK_ID	Ο λογαριασμός σου είναι τιμωρημένος.
LOGIN_FAILURE_BLOCK_LOGIN	Παρακαλώ διαλέξτε έναν άλλο σέρβερ.
LOGIN_FAILURE_NOBILL	Ο λογαριασμός σου δεν είχε χρόνο παιχνιδιού.
LOGIN_FAILURE_NOT_AVAIL	Ο λογαριασμός σου δε μπορεί να χρησιμοποιηθεί.
LOGIN_FAILURE_NOT_EXIST_ID	Λάθος λογαριασμός ή κωδικός.
LOGIN_FAILURE_REPAIR_ID	Αποκαταστάθηκαν αντικείμενα για αυτόν το λογαριασμό.
LOGIN_FAILURE_SAMELOGIN	Κάποιος συνδέθηκε με τον λογαριασμό σου.
LOGIN_FAILURE_SHUTDOWN	Ο server δεν έχει ανοίξει ακόμη.
LOGIN_FAILURE_TOO_MANY_USER	Δε μπορείς να συνδεθείς γιατί είναι πάρα πολλοί παίκτες συνδεδεμένοι.
LOGIN_FAILURE_UNKNOWN	Δε μπόρεσες να εγγραφείς για άγνωστη αιτία.
LOGIN_FAILURE_WEB_BLOCK	Έχετε αποκελιστεί από την Ιστοσελίδα. Παρακαλώ δείτε τα E-mail σας
LOGIN_FAILURE_WRONG_PASSWORD	Λάθος λογαριασμός ή κωδικός.
LOGIN_INPUT_ID	Εισήγαγε την ID.
LOGIN_INPUT_PASSWORD	Εισήγαγε το συνθηματικό.
LOGIN_PROCESSING	Γίνεται εγγραφή...
MALL_CANNOT_INSERT	Δε μπορείς να τοποθετήσεις το Αντικείμενο.
MALL_PASSWORD_TITLE	Συνθηματικό
MAP_A1	Περιοχή Yongan
MAP_A2	Κοιλάδα του Seungryong
MAP_A2_1	
MAP_A3	Περιοχή Yayang
MAP_AG	Jungrang
MAP_B1	Περιοχή Joan
MAP_B2	Κοιλάδα του Imji
MAP_B3	Περιοχή Bokjung
MAP_BATTLE_FIELD	Ζώνη μάχης
MAP_BAY	Κόλπος Νεφρίτη
MAP_BAYBLACKSAND	Κόλπος Νεφρίτη
MAP_BG	Waryong
MAP_C1	Περιοχή Pyungmoo
MAP_C2	Κοιλάδα του Bangsan
MAP_C3	Περιοχή Bakra
MAP_CAPE	Ακρωτήρι της Δρακοφωτιάς
MAP_CAPEDRAGONHEAD	Ακρωτήρι της Δρακοφωτιάς
MAP_CG	Imha
MAP_CZ_DUNGEON	Ζωδιακός Ναός
MAP_DAWN	Βράχος Γκαουτάμα
MAP_DAWNMIST_DUNGEON_01	Μαγεμένο Δάσος
MAP_DAWNMISTWOOD	Βράχος Γκαουτάμα
MAP_DESERT	Έρημος Yongbi
MAP_EMPIREWAR03	Μάχη κάστρων
MAP_EMPIREWAR02	Μάχη κάστρων
MAP_EMPIREWAR01	Μάχη κάστρων
MAP_E	Αποικία
MAP_DUEL	Αρένα για αγώνες κατάρτισης
MAP_DEVILTOWER1	Δαιμονικός Πύργος
MAP_DEVILCATACOMB	Κατακόμβη του Διαβόλου
MAP_FLAME	Doyyumhwan
MAP_MILGYO	Ναός Hwang
MAP_HOLYPLACE_ICE	Μάχη των Βασιλείων - Γη των Πάγων
MAP_HOLYPLACE_FLAME	Μάχη των Βασιλείων - Γη του Πυρός
MAP_HOLYPLACE_DESERT	Μάχη των Βασιλείων - Έρημος
MAP_GUILD_03	Imha
MAP_GUILD_02	Waryong
MAP_GUILD_01	Jungrang
MAP_MILGYO_A	
MAP_MT_TH_DUNGEON_01	Ναός των Οχάο
MAP_MT_THUNDER	Βουνά Κεραυνού
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON2	Junsun Dong
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_NUSLUCK	Χώρα Γιγάντων
MAP_N_DESERT_01	Έρημος Yongbi
MAP_NUSLUCK01	Η Χώρα των Γιγάντων
MAP_N_DESERT_02	
MAP_N_FLAME_01	Γη του Πυρός
MAP_N_FLAME_02	
MAP_N_SNOWM_01	Όρος Sohan
MAP_N_FLAME_DUNGEON_01	Φρούριο των Κοκκινοδράκων
MAP_N_FLAME_DRAGON	Φωλιά της Μέλεϊ
MAP_N_SNOWM_02	
MAP_PATHWAY_ICE_03	Μάχη των Βασιλείων - Γη των Πάγων
MAP_PATHWAY_ICE_02	Παιχνιδοχώρα
MAP_PATHWAY_ICE_01	Μάχη των Βασιλείων - Γη των Πάγων
MAP_PATHWAY_FLAME_03	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_FLAME_02	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_FLAME_01	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_DESERT_03	Μάχη των Βασιλείων - Έρημος
MAP_PATHWAY_DESERT_02	Μάχη των Βασιλείων - Έρημος
MAP_PATHWAY_DESERT_01	Μάχη των Βασιλείων - Έρημος
MAP_OXEVENT	Διαγωνισμός OX
MAP_N_THREEWAY	Κοιλάδα του Seungryong
MAP_N_SNOW_DUNGEON_01	Φυλάκιο του Nemere
MAP_SKELTOWER	Πύργος Gumsan
MAP_SKIPIA_DUNGEON_01	Σπηλιά της Εξορίας
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Σπηλιά της Εξορίας 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS_3	Αραχνοσπηλιά 3
MAP_SKIPIA_DUNGEON_BOSS_2	Αραχνοσπηλιά 2
MAP_SKIPIA_DUNGEON_BOSS_1	Αραχνοσπηλιά 1
MAP_SKIPIA_DUNGEON_BOSS	Δωμάτιο Δράκου
MAP_SNOW	Όρος Sohan
MAP_SPIDER	Kuahlo Dong
MAP_T4	Περιοχή πολέμων συντεχνίας
MAP_T3	Περιοχή πολέμων συντεχνίας
MAP_T2	Περιοχή πολέμων συντεχνίας
MAP_T1	Περιοχή πολέμων συντεχνίας
MAP_SUNGZI_SNOW_PASS03	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW_PASS02	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW_PASS01	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_FLAME_HILL_03	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_FLAME_HILL_02	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_FLAME_HILL_01	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_DESERT_HILL_03	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_DESERT_HILL_02	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_DESERT_HILL_01	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_DESERT_01	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI	Μάχη των Βασιλείων
MAP_SPIDERDUNGEON_03	Αραχνοσπηλιά 3
MAP_SPIDERDUNGEON_02_1	Αραχνοσπηλιά 2
MAP_SPIDERDUNGEON_02	Αραχνοσπηλιά 2
MAP_SPIDERDUNGEON	Αραχνοσπηλιά 1
MAP_TEMPLE	Ναός του Hwang
MAP_THUNDER	Βουνά Κεραυνού
MAP_TREE	Lungsam
MAP_TRENT02_A	Κόκκινο Δάσος
MAP_TRENT02	Κόκκινο Δάσος
MAP_TRENT	Δάσος των Φαντασμάτων
MAP_TRENT_A	
MAP_WEDDING_01	Χάρτης γάμου
MAP_WL	Κοιλάδα των Φιδιών
MAP_WL_01	Κοιλάδα φιδιών
MESSENGER_ADD_FRIEND	Πρόσθεσε Φίλο
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	Ο %s σε πρόσθεσε ως φίλο.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Δέχεσαι;
MESSENGER_DO_YOU_DELETE	Διαγραφή;
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Θέλεις να διαγράψεις το νούμερο κινητού;
MESSENGER_EMPTY_LIST	Άδειο
MESSENGER_FAMILY	Οικογένεια
MESSENGER_FRIEND	Φίλοι
MESSENGER_GUILD	Συντεχνία
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Εισήγαγε τον αριθμό επιβεβαίωσης που αποστάλθηκε στο κινητό σου.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Εισαγωγή αριθμού επιβεβαίωσης.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Εισήγαγε τον αριθμό κινητού τηλεφώνου για την αποστολή του Μηνύματος.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Θέλεις να εισάγεις τώρα τον αριθμό;
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Εισαγωγή αριθμού κινητού τηλεφώνου.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Αποστολή μηνύματος.
METIN_TEST	
MINIMAP	Άνοιγμα μικρού χάρτη
MINIMAP_CANNOT_SEE	Δε μπορείς να δεις το Μικρό Χάρτη.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Ο Μικρός Χάρτης δε μπορεί να εμφανιστεί.
MINIMAP_DEC_SCALE	Ελαχιστοποίηση
MINIMAP_INC_SCALE	Μεγιστοποίηση
MINIMAP_OBSERVER_COUNT	%d παρατηρητές
MINIMAP_SHOW_AREAMAP	Άνοιγμα μεγάλου χάρτη
MINUTE	Λεπτά
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Τιμή Πώλησης:
