AFF_LOVE_POINT	Body za lásku: %d%%
CANNOT_SKILL_REMOVE_FISHING_ROD	Tuto schopnost nemůžu použít ve spojení s rybářským prutem.
CANNOT_SKILL_SELF_IN_SAFE	Odtud nemůžu zaútočit.
CANNOT_SKILL_USE_SELF	Toto nemůžu použít sám na sobě.
CANNOT_SKILL_WAIT_COOLTIME	Tuto schopnost nemůžu zatím použít.
CANNOT_USE	Toto nemůžeš použít.
CANNOT_WHISPER_DEST_REFUSE	%s zablokoval šeptání.	SA
CANNOT_WHISPER_NOT_LOGON	%s není online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nemůžeš s nikým šeptat, pokud jsi kompletně zablokoval šeptání.	SNA
CHANNEL_EMPTY_SERVER	Žádný server
CHANNEL_NORMAL	Kanál %d
CHANNEL_NOTIFY_FULL	Tento kanál je plný! Zvol si prosím jiný.
CHANNEL_NOT_FIND_INFO	Neobdržíš žádné informace z kanálu.
CHANNEL_PVP	Volný souboj
CHANNEL_SELECT_CHANNEL	Zvol si kanál
CHANNEL_SELECT_REGION	Zvolit místo na vystavení účtenky
CHANNEL_SELECT_SERVER	Zvolit server
CHAT_ALL	Všichni
CHAT_GUILD	Cech
CHAT_INFORMATION	Informace
CHAT_INSULT_STRING	Věta obsahuje nepřípustná slova.
CHAT_LOG	Zobrazit staré zprávy [L]
CHAT_LOG_TITLE	Log chatu
CHAT_NORMAL	Normální
CHAT_NOTICE	Oznámení
CHAT_PARTY	Skupina
CHAT_SEND_CHAT	Poslat chat
CHAT_SEND_MEMO	Poslat šepot [Shift+Enter]
CHAT_SHOUT	Zavolat
CHAT_SHOUT_LIMIT	Můžeš volat jenom každých 15 vteřin.
COMB_ALREADY_APPEND	
CREATE_ERROR_GM_NAME	V názvu postavy nesmíš použít ,GM‘.
CREATE_ERROR_INSULT_NAME	Toto jméno je nepřípustné.
CREATE_EXIST_SAME_NAME	Tento název je už zadán pro jinou postavu.
CREATE_FAILURE	Nemůžeš vytvořit tuto postavu.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Zadej jméno.
DAY	D
DO_YOU_BUY_ITEM1	Chceš koupit %s za %s?
DO_YOU_BUY_ITEM2	Chceš koupit %s %s za %s?
DO_YOU_DROP_MONEY	Chceš nechat padnout %d Yang?
DO_YOU_SELL_ITEM1	Chceš prodat %s za %s?
DO_YOU_SELL_ITEM2	Chceš prodat %s %s za %s?
DRAGON_SOUL_CANNOT_REFINE	Dračí kámen nelze zušlechtit.
DRAGON_SOUL_CANNOT_REFINE_MORE	Dračí kámen je již na nejvyšší úrovni.
DRAGON_SOUL_EQUIP_WARNING1	Je těžké odebrat Dračí kámen, jakmile je jednou přidán.
DRAGON_SOUL_EQUIP_WARNING2	Opravdu si přeješ pokračovat?
DRAGON_SOUL_EXPIRED	Propadlý Dračí kámen
DRAGON_SOUL_INVALID_DRAGON_SOUL	Toto je špatný Dračí kámen.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Toto není Dračí kámen.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Toto není správný Dračí kámen.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nemáš dostatek surovin pro zušlechtění.
DRAGON_SOUL_STEP_LEVEL1	Čirost: matná,
DRAGON_SOUL_STEP_LEVEL2	Čirost: čistá,
DRAGON_SOUL_STEP_LEVEL3	Čirost: bezchybná,
DRAGON_SOUL_STEP_LEVEL4	Čirost: brilantní,
DRAGON_SOUL_STEP_LEVEL5	Čirost: excelentní,
DRAGON_SOUL_STRENGTH	Úroveň: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Během tohoto procesu může být Dračí kámen zničen.
DRAGON_SOUL_UNEQUIP_WARNING2	Opravdu si přeješ pokračovat?
DRAGON_SOUL_UNMATCHED_SLOT	Toto je špatný úchyt.
DRAGON_SOUL_UNQUALIFIED	Ještě nemůžeš použít Dračí alchymii.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nemůžeš nechat spadnout vybavený předmět.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nemůžeš nechat spadnout žádný předmět, když máš otevřený soukromý stánek.
DROP_MONEY_FAILURE_1000_OVER	Můžeš nechat spadnout maximálně 999 Yangů.
EMOTION_ANGRY	K zlosti
EMOTION_ATTRACTIVE	Pokušení
EMOTION_BANTER	Uštěpačný
EMOTION_CHEERS_1	Jásot 1
EMOTION_CHEERS_2	Jásot 2
EMOTION_CHEERUP	Jásat
EMOTION_CHOOSE_ONE	Zvol si cíl.
EMOTION_CLAP	Potlesk
EMOTION_CLAP_KISS	Pusa
EMOTION_CONGRATULATION	Útěcha
EMOTION_DANCE_1	Tanec 1
EMOTION_DANCE_2	Tanec 2
EMOTION_DANCE_3	Tanec 3
EMOTION_DANCE_4	Tanec 4
EMOTION_DANCE_5	Tanec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Odpuštění
EMOTION_FRENCH_KISS	Líbání jazykem
EMOTION_JOY	Radost
EMOTION_SAD	Smutný
EMOTION_SHY	Odmítnutí
EMOTION_SLAP	Rána
EMPIRE_A	Království Shinsoo
EMPIRE_B	Království Chunjo
EMPIRE_C	Království Jinno
EXCHANGE_CANNOT_GIVE	S tímto předmětem se nedá obchodovat.
EXCHANGE_CANT_EDIT_MONEY	Ted' nemůžeš změnit částku.
EXCHANGE_FAILURE_EQUIP_ITEM	Vybavené předměty nemůžeš vyměnit.
EXCHANGE_MONEY	Částka
EXCHANGE_TITLE	Obchodovat s %s
FISHING_FAILURE	Ztratil jsi návnadu na ryby.
FISHING_NOTIFY1	Vypadá to, že %s zabralo.
FISHING_NOTIFY2	Vypadá to, že na háčku je %s.
FISHING_SUCCESS1	Chytil jsi %s!
FISHING_SUCCESS2	Vytáhl jsi z vody %s!
FISHING_UNKNOWN	Něco mi sebralo návnadu, ale nevím, co to bylo.
FISHING_WRONG_PLACE	Tady nemůžu lovit ryby.
FOR_FEMALE	Pro ženy
FOR_MALE	Pro muže
GAME_CANNOT_MINING	Když jedeš na koni, nemůžeš těžit nerostné suroviny.
GAME_CANNOT_PICK_ITEM	Nemůžeš sebrat tento předmět, protože jsi ho neukořistil.
GAME_INIT_ERROR_CURSOR	Myší kurzor nemohl být umístěn.
GAME_INIT_ERROR_DIRECTX	Aby hra fungovala, musí být instalován DirectX 8.1.\nNainstaluj DirectX 8.1 nebo vyšší.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nebylo nalezeno žádné grafické vybavení, které tato hra vyžaduje.\nPřesvědči se, zda máš správně instalovanou VGA-kartu.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafické zařízení nebylo nalezeno.\nPřesvědči se, zda máš k dispozici VGA-kartu.\nAlternativně můžeš zaktivovat zrychlení hardware.\n(Nastav zrychlení hardware na maximum v:\nOvládací panely-->Zobrazení-->Nastavení-->Rozšířené-->registrační karta Odstranění problémů)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Grafická karta tvého počítače nepodporuje modus okna ve 32bitovém módu.\nPřepni na 16bitový modus nebo použij celoplošné zobrazení.
GAME_INIT_ERROR_ITEM_PROTO	Nejsou k dispozici žádné údaje o předmětech.\nNainstaluj hru znovu.
GAME_INIT_ERROR_MAIN_WINDOW	Hlavní okno nemohlo být vytvořeno.
GAME_INIT_ERROR_MOB_PROTO	Nejsou k dispozici žádné údaje o příšerách.\nNainstaluj hru znovu.
GAME_INIT_ERROR_NETWORK	Nebylo vytvořeno spojení po síti.\nPřezkoušej připojení na internet.
GAME_PICK_MONEY	Obdržel jsi %d Yangů.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Výška není 128 pixelů.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Výška není 12 pixelů.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Šířka není 16 pixelů.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Šířka není 64 pixelů.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Hra nepodporuje tento obrázek.
GUILDMARK_UPLOADER_ERROR_PATH	Přesuň soubory do složky metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nebyl zvolen žádný obrazový soubor.
GUILDWAR_CTF_TITLE	Zmocnit se praporu
GUILDWAR_NORMAL_TITLE	Polní bitva
GUILDWAR_WARP_TITLE	Dějiště války cechů
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_NAME	Název budovy
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energie dračího ducha je plně obnovena.
GUILD_COMMENT	Psát
GUILD_CREATE_ERROR_INSULT_NAME	Název cechu je nepřípustný.
GUILD_DEFAULT_GRADE	Členové cechu
GUILD_DELETE	Smazat
GUILD_DEPOSIT	Deponovat
GUILD_DO_YOU_HEAL_GSP	Chceš použít %d Yangů na obnovu %d jednotek Dračího ducha?
GUILD_DO_YOU_JOIN	 tě pozval. Přeješ si vstoupit do cechu?
GUILD_EMPTY_AREA	Planá země
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit dračího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	Žádná
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotřebí minimálně úrovně 3.
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yangů pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávněn, zveřejňovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Zkušenost k investování
GUILD_SHORT_EXP	Nedostatek zkušeností.
GUILD_TILE_BASEINFO	Základní informace
GUILD_TILE_BOARD	Tabule
GUILD_TILE_GRADE	Administrace práv
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Členové cechu
GUILD_TILE_SKILL	Schopnosti  cechu
GUILD_REMOVE_MEMBER_QUESTION	Chceš odebrat tohoto člena?
GUILD_WAR_LIMIT_30MIN	Čas: 30 minut
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Oblast cechovních válek
GUILD_WAR2	Oblast cechovních válek
GUILD_WAR3	Oblast cechovních válek
GUILD_WAR4	Oblast cechovních válek
GUILD_WAR_REWARD_POTION	Odměna: Vítěz obdrží elixíry
GUILD_WAR_USE_BATTLE_MAP	Lokalita: dějiště cechovní války
GUILD_WAR_USE_NORMAL_MAP	Lokalita: normální mapa
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší výsledek vyhraje válku.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Přemož všechny soupeři, abys vyhrál.
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatříš k žádnému cechu.
HORSE_HEALTH0	Mrtvý
HORSE_HEALTH1	Hladovějící
HORSE_HEALTH2	Hladový
HORSE_HEALTH3	Plný
HORSE_LEVEL1	Normální kůň
HORSE_LEVEL2	Opancéřovaný kůň
HORSE_LEVEL3	Vojenský kůň
HOUR	hod.
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INVENTORY_REALLY_USE_ITEM	Použit předmět na tento předmět?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatérský ninja
JOB_ASSASSIN1	Moc ninji
JOB_ASSASSIN2	Nezemřelý
JOB_SHAMAN	Šaman
JOB_SHAMAN0	Amatérský šaman
JOB_SHAMAN1	Moc draka
JOB_SHAMAN2	Síla blesku
JOB_SURA	Sura
JOB_SURA0	Amatérský Sura
JOB_SURA1	Moc faty morgány
JOB_SURA2	Moc černé magie
JOB_WARRIOR	Válečník
JOB_WARRIOR0	Amatérský válečník
JOB_WARRIOR1	Moc Arahanu
JOB_WARRIOR2	Moc halapartny
LEFT_TIME	Zbývající čas
LOCALE_CHANGE_CONFIRM	Změňte jazyk na %s a restartujte hru?
LOGIN_CONNECT_FAILURE	Chyba při spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi připojen na server.
LOGIN_CONNETING	Budeš připojen na server...
LOGIN_FAILURE_ALREAY	Tvé konto je už připojeno.
LOGIN_FAILURE_BE_SAME_KEY	Problém s přihlášením
LOGIN_FAILURE_BLOCK_ID	Konto je zablokováno.
LOGIN_FAILURE_BLOCK_LOGIN	Prosím, zvolte si některý z jiných serverů!
LOGIN_FAILURE_NOBILL	Konto nemá k dispozici žádnou hrací dobu.
LOGIN_FAILURE_NOT_AVAIL	Konto není k dispozici.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_REPAIR_ID	Právě se znovu zřizují předměty pro toto konto.
LOGIN_FAILURE_SAMELOGIN	Někdo se připojil na tvůj účet.
LOGIN_FAILURE_SHUTDOWN	Server zatím není přístupný.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protože právě hraje příliš mnoho hráčů.
LOGIN_FAILURE_UNKNOWN	Z neznámých důvodů jsi se nemohl přihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_PASSWORD	Chybné jméno nebo heslo.
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Přihlášení probíhá...
MALL_CANNOT_INSERT	Tento předmět nemůžeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong
MAP_A2_1	
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjů
MAP_B3	Oblast Bokjung
MAP_BAY	Nefritový záliv
MAP_BATTLE_FIELD	Bitevní zóna
MAP_BG	Waryong
MAP_BAYBLACKSAND	Nefritový záliv
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanů
MAP_C3	Oblast Bakra
MAP_CAPE	Záliv dračího ohně
MAP_CG	Imha
MAP_CAPEDRAGONHEAD	Záliv dračího ohně
MAP_DAWN	Útes Gautama
MAP_CZ_DUNGEON	Chrám Zvěrokruhu
MAP_DESERT	Poušť Yongbi
MAP_DAWNMISTWOOD	Útes Gautama
MAP_DAWNMIST_DUNGEON_01	Zakletý les
MAP_FLAME	Doyyumhwan
MAP_DEVILCATACOMB	Ďáblova katakomba
MAP_DEVILTOWER1	Věž démonů
MAP_DUEL	Oblast tréninkových bojů
MAP_E	Kolonie
MAP_EMPIREWAR01	Bitva na hradě
MAP_EMPIREWAR02	Bitva na hradě
MAP_EMPIREWAR03	Bitva na hradě
MAP_MILGYO_A	
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Bitva království - Pouštní země
MAP_HOLYPLACE_FLAME	Bitva království - Ohnivá země
MAP_HOLYPLACE_ICE	Bitva království - Ledová země
MAP_MILGYO	Chrám Hwang
MAP_NUSLUCK	Země obrů
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Bouřné hory
MAP_MT_TH_DUNGEON_01	Chrám Ochao
MAP_N_DESERT_02	
MAP_NUSLUCK01	Země obrů
MAP_N_DESERT_01	Poušť Yongbi
MAP_N_FLAME_02	
MAP_N_FLAME_01	Ohnivá země
MAP_N_SNOWM_02	
MAP_N_FLAME_DRAGON	Doupě Meley
MAP_N_FLAME_DUNGEON_01	Pevnost Červeného draka
MAP_N_SNOWM_01	Hora Sohan
MAP_SKELTOWER	Věž Gumsan
MAP_N_SNOW_DUNGEON_01	Nemerova strážní věž
MAP_N_THREEWAY	Údolí Seungryong
MAP_OXEVENT	Soutež OX
MAP_PATHWAY_DESERT_01	Bitva království - Pouštní země
MAP_PATHWAY_DESERT_02	Bitva království - Pouštní země
MAP_PATHWAY_DESERT_03	Bitva království - Pouštní země
MAP_PATHWAY_FLAME_01	Bitva království - Ohnivá země
MAP_PATHWAY_FLAME_02	Bitva království - Ohnivá země
MAP_PATHWAY_FLAME_03	Bitva království - Ohnivá země
MAP_PATHWAY_ICE_01	Bitva království - Ledová země
MAP_PATHWAY_ICE_02	Země her
MAP_PATHWAY_ICE_03	Bitva království - Ledová země
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_01	Jeskyně vyhnanství
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_02	Jeskyně vyhnanství 2
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SNOW	Hora Sohan
MAP_SKIPIA_DUNGEON_BOSS	Dračí chrám
MAP_SKIPIA_DUNGEON_BOSS_1	Pavoučí bludiště 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pavoučí bludiště 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pavoučí bludiště 3
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Chrám Hwang
MAP_SPIDERDUNGEON	Pavoučí bludiště 1
MAP_SPIDERDUNGEON_02	Pavoučí bludiště 2
MAP_SPIDERDUNGEON_02_1	Pavoučí bludiště 2
MAP_SPIDERDUNGEON_03	Pavoučí bludiště 3
MAP_SUNGZI	Bitva království
MAP_SUNGZI_DESERT_01	Bitva království - Pouštní země
MAP_SUNGZI_DESERT_HILL_01	Bitva království - Pouštní země
MAP_SUNGZI_DESERT_HILL_02	Bitva království - Pouštní země
MAP_SUNGZI_DESERT_HILL_03	Bitva království - Pouštní země
MAP_SUNGZI_FLAME_HILL_01	Bitva království - Ohnivá země
MAP_SUNGZI_FLAME_HILL_02	Bitva království - Ohnivá země
MAP_SUNGZI_FLAME_HILL_03	Bitva království - Ohnivá země
MAP_SUNGZI_SNOW	Bitva království - Ledová země
MAP_SUNGZI_SNOW_PASS01	Bitva království - Ledová země
MAP_SUNGZI_SNOW_PASS02	Bitva království - Ledová země
MAP_SUNGZI_SNOW_PASS03	Bitva království - Ledová země
MAP_T1	Oblast cechovních válek
MAP_T2	Oblast cechovních válek
MAP_T3	Oblast cechovních válek
MAP_T4	Oblast cechovních válek
MAP_THUNDER	Bouřné hory
MAP_TREE	Lungsam
MAP_TRENT_A	
MAP_TRENT	Les duchů
MAP_TRENT02	Červený les
MAP_TRENT02_A	Červený les
MAP_WL	Hadí pole
MAP_WEDDING_01	Svatební oblast
MESSENGER_ADD_FRIEND	Přidat přítele
MAP_WL_01	Hadí pole
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s tě přijímal za přítele.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akceptovat?
MESSENGER_DO_YOU_DELETE	Smazat?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Chceš smazat číslo na mobil?
MESSENGER_EMPTY_LIST	Prázdný
MESSENGER_FAMILY	Rodina
MESSENGER_FRIEND	Přátelé
MESSENGER_GUILD	Cech
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Zadej číslo potvrzení, které bylo odesláno na tvůj mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Zadat číslo potvrzení
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Zadej číslo na mobil na zasílaní SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Chceš teď zadat číslo?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Zadat číslo na mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Poslat zprávu
METIN_TEST	
MINIMAP	Otevřít minimapu
MINIMAP_CANNOT_SEE	Minimapu nelze zobrazit.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Vekou mapu nelze zobrazit.
MINIMAP_DEC_SCALE	Oddálit
MINIMAP_INC_SCALE	Přiblížit
MINIMAP_OBSERVER_COUNT	%d divák
MINIMAP_SHOW_AREAMAP	Velká mapa
MINUTE	min
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Prodejní cena:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nemůžeš přesunout tento předmět, když jsi otevřel soukromý stánek.
MUSIC_EMPTY_MUSIC_LIST	Bez hudby v pozadí	
MUSIC_METIN2_DEFAULT_THEMA	Standardní hudba Metin2
MUSIC_NOT_SELECT_MUSIC	Nebyl zvolen hudební soubor.
NEEFD_REST	Musíš si nejdřív odpočinout.
NOT_YET_SUPPORT	Není podporováno.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Pokud nenáležíš k žádnému cechu, nemůžeš zaktivovat cechovní modus.
OPTION_PVPMODE_NOT_SUPPORT	Konfiguraci PvP-módu nemůžeš použít.
OPTION_PVPMODE_PROTECT	Abys mohl přejít do PvP-módu, musíš dosáhnout minimálně úrovně %d.
PARTY_BONUS_ATTACKER	Hodnota útoku: +%d	SA
PARTY_BONUS_BERSERKER	Rychlost útoku: +%d	SA
PARTY_BONUS_BUFFER	Trvání schopností: +%d	SA
PARTY_BONUS_DEFENDER	Obrana: +%d	SA
PARTY_BONUS_EXP	Bonus BZK: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MB: +%d	SA
PARTY_BONUS_TANKER	Max. ZB: +%d	SA
PARTY_BREAK_UP	Zrušit skupinu
PARTY_DO_YOU_ACCEPT	 by se rád přidal do skupiny.
PARTY_DO_YOU_JOIN	 tě pozval do jeho skupiny. Přijmout?
PARTY_EXP_DISTRIBUTION_MODE	Rozložení BZK
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Podle úrovně
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Vyšší úroveň obdrží více BZK.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Rovnoměrné rozložení
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Všichni členové skupiny obdrží stejný počet BZK.
PARTY_HEAL_ALL_MEMBER	Vše znovuobnovit
PARTY_INCREASE_AREA_150	Dosah skupiny byl zvýšen o faktor 1,5.	SNA
PARTY_INCREASE_AREA_200	Dosah skupiny byl zvýšen o faktor 2.	SNA
PARTY_LEAVE	Opustit skupinu
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Přivolat člena skupiny.
PARTY_REQUEST_DENIED	Tvůj požadavek byl zamítnut.
PARTY_SET_ATTACKER	Určit útočníka.
PARTY_SET_BERSERKER	Určit zuřivce.
PARTY_SET_BUFFER	Určit blokátora
PARTY_SET_DEFENDER	Určit obránce.
PARTY_SET_NORMAL	Odvolat nastavení.
PARTY_SET_SKILL_MASTER	Určit mistra schopností.
PARTY_SET_TANKER	Založit bojovníka zblízka.
PARTY_SKILL_ATTACKER	Základní hodnota útoku útočníka +%.0f
PARTY_SKILL_BERSERKER	Rychlost útoku zuřivce +%.0f
PARTY_SKILL_BUFFER	Doba trvání schopností blokátora +%.0f
PARTY_SKILL_DEFENDER	Obrana obránce +%.0f
PARTY_SKILL_SKILL_MASTER	Max. MB mistra schopností +%.0f
PARTY_SKILL_TANKER	Max. ZB bojovník zblízka +%.0f
PASSWORD_TITLE	Heslo ke skladišti
PICK_ITEM_TITLE	Počet předmětů
PICK_MONEY_TITLE	Částka
PRIVATE_SHOP_CANNOT_SELL_ITEM	Tento předmět nemůžeš prodávat v soukromém stánku.
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavřít soukromý stánek?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Název soukromého stánku.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PVP_LEVEL0	Rytířský
PVP_LEVEL1	Vznešený
PVP_LEVEL2	Dobrý
PVP_LEVEL3	Přátelský
PVP_LEVEL4	Neutrální
PVP_LEVEL5	Agresivní
PVP_LEVEL6	Úskočný
PVP_LEVEL7	Zlomyslný
PVP_LEVEL8	Krutý
PVP_MODE_GUILD	Cechovní mód PvP byl zaktivován
PVP_MODE_KILL	Mód volného PvP byl zaktivován
PVP_MODE_NORMAL	Mír v PvP byl zaktivován
PVP_MODE_PROTECT	Ochrana PvP byla aktivována.
PVP_MODE_REVENGE	Agresivní PvP byl zaktivován.
PVP_OPTION_KILL	Volno
PVP_OPTION_NORMAL	Mír
PVP_OPTION_PROTECT	Ochrana
PVP_OPTION_REVENGE	Nepřátelský
QUEST_APPEND	Byl získán nový úkol.
QUEST_MIN	min.
QUEST_SEC	sek.
QUEST_TIMEOVER	Čas vypršel
QUEST_UNLIMITED_TIME	Bez časového omezení
QUICKSLOT_REGISTER_DISABLE_ITEM	Tento předmět nemůže být přidán k poli rychlého přístupu.
RECEIVE_MESSAGE	%s ti poslal/a zprávu.
REFINE_COST	Náklady na zlepšení: %d Yang
REFINE_DESTROY_WARNING	Předmět by se mohl zušlechtěním \n zničit.
